package_name,desc,long_desc,Depends,Suggests,Imports,Inviews,Version,License,Enhances
palaeoSig,Significance tests for palaeoenvironmental reconstructions,Tests if quantitative palaeoenvironmental reconstructions are statistically significant.,"rioja, vegan, TeachingDemos, gstat, fields, mapproj",,,,1.1-2,GPL-3,
paleobioDB,"paleobioDB: a package for downloading, visualizing and processing data from Paleobiology Database","paleobioDB version 0.1 has 19 functions to wrap each endpoint of the PaleobioDB API, plus 8 functions to visualize and process the fossil data. The API documentation for the Paleobiology Database can be found in <http://paleobiodb.org/data1.1/>.",,"roxygen2, testthat","maps, raster, rjson, gtools, RCurl, plyr, scales",,0.1,GPL-2,
paleofire,paleofire: an R package to analyse sedimentary charcoal records from the Global Charcoal Database to reconstruct past biomass burning,"The paleofire package provides tools to extract and analyse charcoal sedimentary data stored in the Global Charcoal Database. Main functionalities includes data extraction and sites selection, transformation and interpolation of the charcoal records as well as compositing.","R (≥ 2.10.0), methods, GCD, rworldmap",,"locfit, gtools, caTools, pscl, Imap, RCurl, devtools, raster, sp, rgdal, ggplot2, lattice, RColorBrewer, agricolae",,1.1-2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
paleoMAS,Paleoecological Analysis,Transfer functions and statistical operations for paleoecology,"MASS, vegan, lattice",,,,2.0-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
paleotree,Paleontological and Phylogenetic Analyses of Evolution,"Analyzes, time-scales and simulates phylogenies of extinct/fossil lineages, along with calculation of diversity curves. Also fits likelihood models to estimate sampling rates from stratigraphic ranges.","R (≥ 3.0.0), ape",,phangorn,Phylogenetics,2.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
paleoTS,Analyze paleontological time-series,"This package facilitates analysis of paleontological sequences of trait values from an evolving lineage.  Functions are provided to fit, using maximum likelihood, evolutionary models including unbiased random walks, directional evolution, stasis, Ornstein-Uhlenbeck, punctuated change, and evolutionary models in which traits track some measured covariate.",mvtnorm,,,"Phylogenetics, TimeSeries",0.4-4,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
palinsol,Insolation for palaeoclimate studies,"R package to compute Incoming Solar Radiation (insolation) for paleoclimate studies. Features three solutions: BER78 (Berger, 1978), BER90 (Berger and Loutre, 1991) and LA04 (Laskar et al. 2004). Computes daily-mean, season-averaged and annual means for all latitudes.","R (≥ 2.10), stats, gsl",,,,0.92,file LICENSE,
PamGeneMixed,Preprocessing and Modeling Kinase Activity Profiles in PamChip Data,"This package contains the functions that can be used to analyze the PamChip microarray data. The package is mainly useful in fitting semi-parametric mixed effects models while accommodating various types of mean structures and correlation structures present in Kinase activity profiling experiments. The package can be used to visualize, cleaning Pam Chip data. And also it can be used in model fitting, velocity estimating, and testing the estimated velocities between the groups. The PamGeneMixed package is built up as a software implementation for the paper titled The Use of Semi-parametric Mixed Models to Analyze PamChip Peptide Array Data: an Application to an Oncology Experiment which is published in Bioinformatics (2011).","R (≥ 2.10), mgcv, gplots, utils, graphics, nlme, methods, stats, Biobase",,,,1.03,GPL-3,
pamm,Power analysis for random effects in mixed models,"Simulation functions to assess or explore the power of a dataset to estimates significant random effects (intercept or slope) in a mixed model. The functions are based on the ""lme4"" package.","R (≥ 2.4.0), lme4, mvtnorm, gmodels",rgl,,,0.7,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
pamr,Pam: prediction analysis for microarrays,Some functions for sample classification in microarrays,"R (≥ 2.10), cluster, survival",,,"MachineLearning, Survival",1.54.1,GPL-2,
pan,Multiple imputation for multivariate panel or clustered data,Multiple imputation for multivariate panel or clustered data,,"mitools, lme4",,"Multivariate, OfficialStatistics, SocialSciences",0.9,MIT + file LICENSE,
pander,An R pandoc writer,"Contains some functions catching all messages, stdout and other useful information while evaluating R code and other helpers to return user specified text elements (like: header, paragraph, table, image, lists etc.) in Pandoc's markdown or several type of R objects similarly automatically transformed to markdown format. Also capable of exporting/converting (the resulting) complex Pandoc documents to e.g. HTML, pdf, docx or odt. This latter reporting feature is supported in brew syntax or with a custom reference class with a smarty caching backend.",R (≥ 2.15.0),"grid, lattice, ggplot2 (≥ 0.9.2)","methods, digest, tools",ReproducibleResearch,0.3.8,AGPL-3,
panelAR,Estimation of Linear AR(1) Panel Data Models with Cross-Sectional Heteroskedasticity and/or Correlation,"The package estimates linear models on panel data structures in the presence of AR(1)-type autocorrelation as well as panel heteroskedasticity and/or contemporaneous correlation. First, AR(1)-type autocorrelation is addressed via a two-step Prais-Winsten feasible generalized least squares (FGLS) procedure, where the autocorrelation coefficients may be panel-specific. A number of common estimators for the autocorrelation coefficient are supported. In case of panel heteroskedasticty, one can choose to use a sandwich-type robust standard error estimator with OLS or a panel weighted least squares estimator after the two-step Prais-Winsten estimator. Alternatively, if panels are both heteroskedastic and contemporaneously correlated, the package supports panel-corrected standard errors (PCSEs) as well as the Parks-Kmenta FGLS estimator.",R (≥ 2.15.0),,car,,0.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
Paneldata,Linear models for panel data,Linear models for panel data: the fixed effect model and the random effect model,,,,,1.0,Artistic-2.0,
papeR,A toolbox for writing Sweave or other LaTeX-based papers and reports,A toolbox for writing Sweave or other LaTeX-based reports,"car, nlme, lme4, survival, utils",,gmodels,ReproducibleResearch,0.4-0,GPL-2,
parallelize.dynamic,Automate parallelization of function calls by means of dynamic code analysis,"Passing a given function name or a call to the parallelize/parallelize_call functions analyses and executes the code, if possible in parallel. Parallel code execution can be performed locally or on remote batch queuing systems.","methods, tools, parallel",,,,0.9-1,LGPL-2 | LGPL-2.1 | LGPL-3 [expanded from: LGPL],
parallelMap,Unified interface to some popular parallelization back-ends for interactive usage and package development,"Map over lists in parallel. Supports local, multicore, mpi and BatchJobs mode. Allows ""tagging"" of the parallel operation with a level name that can be later selected by the user to switch on parallel execution for exactly this operation.",R (≥ 3.0.0),"testthat, parallel, Rmpi, BatchJobs",BBmisc (≥ 1.3-64),,1.0-83,BSD_3_clause + file LICENSE,
ParamHelpers,"Helpers for parameters in black-box optimization, tuning and machine learning","A small package containing useful functions for parameter descriptions and operations in black-box optimization, tuning and machine learning.",,"lhs, irace, testthat",BBmisc,,1.1-36,BSD_3_clause + file LICENSE,
paramlink,Parametric linkage analysis in R,"Parametric linkage analysis and other likelihood-based pedigree analyses based on the Elston-Stewart algorithm, including singlepoint LOD scores, power analysis and computation of marker genotype distributions. Multipoint analysis is provided through a convenient MERLIN wrapper. Includes many utility functions for creating, manipulating and plotting pedigrees, markers and linkage results.","R (≥ 3.0), kinship2",,maxLik,,0.9-6,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
paran,Horn's Test of Principal Components/Factors,paran is an implementation of Horn's technique for numerically and graphically evaluating the components or factors retained in a principle components analysis (PCA) or common factor analysis (FA). Horn's method contrasts eigenvalues produced through a PCA or FA on a number of random data sets of uncorrelated variables with the same number of variables and observations as the experimental or observational data set to produce eigenvalues for components or factors that are adjusted for the sample error-induced inflation. Components with adjusted eigenvalues greater than one are retained. paran may also be used to conduct parallel analysis following Glorfeld's (1995) suggestions to reduce the likelihood of over-retention.,"R (≥ 1.8.0), MASS",,,Multivariate,1.5.1,GPL-2,
parboost,Distributed Model-Based Boosting,"Distributed gradient boosting based on the mboost package. The parboost package is designed to scale up component-wise functional gradient boosting in a distributed memory environment by splitting the observations into disjoint subsets, or alternatively using bootstrap samples (bagging). Each cluster node then fits a boosting model to its subset of the data. These boosting models are combined in an ensemble, either with equal weights, or by fitting a (penalized) regression model on the predictions of the individual models on the complete data.","R (≥ 3.0.1), parallel, mboost, party, iterators",,"plyr, caret, glmnet, doParallel",,0.1.3,GPL-2,
parcor,Regularized estimation of partial correlation matrices,"The package estimates the matrix of partial correlations based on different regularized regression methods: lasso, adaptive lasso, PLS, and Ridge Regression. In addition, the package provides model selection for lasso, adaptive lasso and Ridge regression based on cross-validation.","MASS, glmnet, ppls, Epi, GeneNet",,,gR,0.2-4,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ParDNAcopy,"parallel implementation of the ""segment"" function of package ""DNAcopy""","parallelized version of the ""segment"" function from Bioconductor package ""DNAcopy"", utilizing multi-core computation on host CPU","DNAcopy, parallel",,,,1.3,GPL-2,
ParentOffspring,Conduct the Parent-Offspring Test Using Monomorphic SNP Markers,"Conduct the Parent-Offspring Test Using Monomorphic SNP Markers. The similarity to the parents is computed for each offspring, and a plot of similarity for all offspring is produced. One can keep the offspring above some threshold for the similarity for further studies.",,,,,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
